Time,Gg,Tamb,TI1,TI2,T3,CP1,CP2,ηt
10:45,830,15,38,31,68,4.178871704,4.180006229,
10:50,870,15,40,36,72,4.178784392,4.179060068,19.87322316
10:55,900,15,43,41,76,4.178835172,4.178777464,21.6204367
11:00,903,15,46,47,83,4.17909613,4.179228641,24.41910158
11:05,920,16,50,53,137,4.179760088,4.180489384,26.33278625
11:10,928,16,54,57,136,4.180775906,4.181764473,20.52733734
11:15,959,16,57,59,142,4.181764473,4.182530284,12.19780292
11:20,960,16,60,63,130,4.182945029,4.184315994,17.59224335
11:25,968,17,65,67,109,4.185335123,4.18643801,21.94556817
11:30,970,17,68,69,120,4.187020778,4.187624389,12.07442707
11:35,1010,18,74,73,127,4.190954245,4.190246769,23.21103227
11:40,1009,18,76,75,118,4.192431347,4.191682442,9.463905757
11:45,1005,18,81,81,113,4.196486301,4.196486301,26.36722632
11:50,1060,19,84,86,109,4.199167682,4.201058958,18.45199088
11:55,1062,19,88,90,115,4.20303339,4.205091228,18.03523667
12:00,1029,19,91,91,115,4.20615152,4.20615152,8.899920945
12:05,993,20,93,92,129,4.208335079,4.207232786,7.026447544